experiment,n_attractions,profile,suite,setup_name,mode,run_count,ok_count,timeout_count,timeout_rate,wall_time_ms_mean,wall_time_ms_std,expanded_nodes_mean,objective_cost_median,peak_memory_mb_mean,optimality_gap_mean,stay_utilization_mean
astar_intervals,6,relaxed,heuristic_ablation,baseline,fixture,12,12,0,0.0,1.408603499991538,0.5737065014316662,9.333333333333334,10341.618427141064,0.05018266042073568,,1.0
astar_intervals,6,tight,heuristic_ablation,baseline,fixture,12,12,0,0.0,1.063668333320796,0.17917103193306677,19.666666666666668,15363.759784615107,0.02654743194580078,,1.0
astar_intervals,9,relaxed,heuristic_ablation,baseline,fixture,12,12,0,0.0,9.389424416629785,7.967864817998921,35.416666666666664,11755.43454085042,0.24306607246398926,,1.0
astar_intervals,9,tight,heuristic_ablation,baseline,fixture,12,12,0,0.0,10.253144916646306,3.625803448848475,158.41666666666666,24113.208737857203,0.07553609212239583,,1.0
astar_intervals,12,relaxed,heuristic_ablation,baseline,fixture,12,12,0,0.0,47.36389025003973,34.287346619753684,98.33333333333333,14463.829001203838,1.0257230599721272,,1.0
astar_intervals,12,tight,heuristic_ablation,baseline,fixture,12,12,0,0.0,113.94780041666763,37.855656797814156,1166.5,34146.76443247138,0.39712953567504883,,1.0
astar_intervals_no_heuristic,6,relaxed,heuristic_ablation,baseline,fixture,12,12,0,0.0,4.086630249920138,1.8750462697699908,58.25,10341.618427141064,0.1568142573038737,,1.0
astar_intervals_no_heuristic,6,tight,heuristic_ablation,baseline,fixture,12,12,0,0.0,0.7626839166429514,0.1415581870428597,25.083333333333332,15363.759784615107,0.023795127868652344,,1.0
astar_intervals_no_heuristic,9,relaxed,heuristic_ablation,baseline,fixture,12,12,0,0.0,306.8327910832143,237.06854872057437,2228.0,11755.43454085042,9.647154569625854,,1.0
astar_intervals_no_heuristic,9,tight,heuristic_ablation,baseline,fixture,12,12,0,0.0,6.21734591660091,4.251052673079324,179.58333333333334,24113.208737857203,0.07007964452107747,,1.0
astar_intervals_no_heuristic,12,relaxed,heuristic_ablation,baseline,fixture,12,11,1,0.08333333333333333,16680.855393363596,7191.9108330727795,78260.90909090909,14250.84488035148,514.7503571076827,,1.0
astar_intervals_no_heuristic,12,tight,heuristic_ablation,baseline,fixture,12,12,0,0.0,42.432208833361074,16.211475053299992,1216.0833333333333,34146.76443247138,0.3267451922098796,,1.0
