experiment,n_attractions,profile,suite,setup_name,mode,run_count,ok_count,timeout_count,timeout_rate,wall_time_ms_mean,wall_time_ms_std,expanded_nodes_mean,objective_cost_median,peak_memory_mb_mean,optimality_gap_mean,stay_utilization_mean
astar_greedy,6,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,0.8339545833374965,0.29423183388122076,9.333333333333334,10341.618427141064,0.0283810297648112,0.0,1.0
astar_greedy,6,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,1.033848583309312,0.14774389654088607,19.75,15363.759784615391,0.02660528818766276,0.0,0.9999999999999999
astar_greedy,7,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,1.281057916685313,0.4163603009625284,11.666666666666666,11721.597768790167,0.03502432505289713,0.0004087263669566071,1.0
astar_greedy,7,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,1.793748000030367,0.4796755739737188,30.5,16156.375992900415,0.03208319346110026,0.0,1.0
astar_greedy,8,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,2.140925166713714,1.2135252105897947,16.583333333333332,9708.46907860398,0.04836392402648926,0.0,1.0
astar_greedy,8,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,4.683915833387194,0.9275114861633735,82.5,20943.085732003346,0.04906670252482096,0.0,1.0
astar_greedy,9,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,4.862120083354664,3.770892732410723,35.416666666666664,11755.43454085042,0.0918584664662679,0.0,1.0
astar_greedy,9,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,9.397749083367065,1.8304124517264742,158.41666666666666,24113.208737857203,0.07553418477376302,0.0,1.0
astar_greedy,10,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,6.970386749912905,3.140994699303025,40.5,13877.61374617427,0.11984626452128093,0.0,1.0
astar_greedy,10,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,20.61151416660323,6.599862436185231,285.8333333333333,25599.828612604408,0.12874539693196616,0.0,1.0
astar_intervals,6,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,1.5602140833076799,0.7634857134257862,9.333333333333334,10341.618427141064,0.05018266042073568,0.0,1.0
astar_intervals,6,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,1.0653845000282065,0.16824338769029398,19.75,15363.759784615391,0.02660528818766276,0.0,0.9999999999999999
astar_intervals,7,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,2.1730827500429464,0.7386401537927575,11.666666666666666,11721.597768790167,0.0687259038289388,0.0004087263669566071,1.0
astar_intervals,7,tight,bf_reference_small_n,window_stress,fixture,12,12,0,0.0,1.7929314166167387,0.5341494237778578,30.5,16156.375992900415,0.03208319346110026,0.0,1.0
